Iteration,Raw_Profit,Expected_Profit,Primal_Residual,Crypto_Time_ms
1,33312.000001112916,,76.93113803915811,1473.578691482544
2,1013.8530004489772,,2.2682592444427505,1451.6966342926025
3,1013.8530014583548,,2.2682592444427505,1451.0149955749512
4,1013.8530024120455,,2.2682592444427505,1503.1654834747314
5,1013.8530019026852,,2.2682592444427505,1451.9033432006836
6,1013.8530022943551,,2.2682592444427505,1450.7160186767578
7,1013.8530000428594,,2.2682592444427505,1469.8982238769531
8,1013.8530001347954,,2.2682592444427505,1463.8395309448242
9,1013.8530002459386,,2.2682592444427505,1451.6112804412842
10,1013.8530003175922,,2.2682592444427505,1452.0657062530518
11,1013.8530003201676,,2.2682592444427505,1457.7386379241943
12,1013.8530001165188,,2.2682592444427505,1453.8242816925049
13,1013.8530006825595,,2.2682592444427505,1452.2948265075684
14,1294.6531359638143,,1.8289341158171883,1459.0771198272705
15,1294.6531227361065,,1.8289341158171883,1454.087257385254
16,2137.053023719991,,2.566125484071268,1453.7510871887207
17,1013.8530001172567,,2.2682592444427505,1453.1652927398682
18,2417.853009559951,,3.2473065762259044,1453.4201622009277
19,1013.8530015181302,,2.2682592444427505,1450.347900390625
20,1013.8530543999873,,2.2682592444427505,1452.4517059326172
21,2698.653004287833,,3.9931190816202817,1454.1230201721191
22,1013.8530020552453,,2.2682592444427505,1450.6287574768066
23,1013.8530058613126,,2.2682592444427505,1449.634075164795
24,1856.2530623620914,,2.016184515365595,1454.5624256134033
25,2137.053002996797,,3.513545218152174,1454.2124271392822
26,2417.8530091501807,,3.2473065762259044,1466.9585227966309
27,1013.8530033624407,,2.2682592444427505,1454.850196838379
28,1575.4531001474259,,2.103568396796262,1453.2804489135742
29,2698.6530064649314,,3.9931190816202817,1457.6046466827393
30,1949.8530031022697,,2.9571946165242498,1454.8583030700684
31,1013.8530039857407,,2.2682592444427505,1454.0517330169678
32,1856.2530388637979,,2.016184515365595,1454.5798301696777
33,2137.053007253403,,3.513545218152174,1454.6806812286377
34,2417.853029335235,,3.2473065762259044,1452.8839588165283
35,1762.6530085739632,,2.4708298201211676,1456.434965133667
36,1575.4530471672779,,2.103568396796262,1453.04274559021
37,3073.053113133027,,3.808543028508408,1458.6164951324463
38,1949.8530046486276,,2.9571946165242498,1453.5517692565918
39,2511.453003503764,,4.73550419702063,1453.387975692749
40,1856.2530266198721,,2.016184515365595,1454.801082611084
41,2137.053007253403,2137.053007253403,3.513545218152174,1454.5199871063232
42,2417.853029335235,2277.453018294319,3.2473065762259044,1453.563928604126
43,1762.6530085739632,2105.8530150542006,2.4708298201211676,1457.43989944458
44,1575.4530471672779,1973.2530230824698,2.103568396796262,1455.0025463104248
45,3073.053113133027,2193.213041092581,3.808543028508408,1458.0707550048828
46,1949.8530046486276,2152.653035018589,2.9571946165242498,1453.6395072937012
47,2511.453003503764,2203.910173373614,4.73550419702063,1471.195936203003
48,1856.2530266198721,2160.4530300293964,2.016184515365595,1453.5181522369385
49,2137.053007253403,2157.85302749873,3.513545218152174,1456.800937652588
50,2417.853029335235,2183.853027682381,3.2473065762259044,1453.857660293579
51,1762.6530085739632,2145.5621168543425,2.4708298201211676,1456.9993019104004
52,1575.4530471672779,2098.0530277137536,2.103568396796262,1453.2396793365479
53,3073.053113133027,2173.0530342844672,3.808543028508408,1477.1943092346191
54,1949.8530046486276,2157.1101750247644,2.9571946165242498,1452.6574611663818
55,2511.453003503764,2180.7330302566975,4.73550419702063,1462.1901512145996
56,1856.2530266198721,2160.453030029396,2.016184515365595,1453.43017578125
57,2137.053007253403,2159.076558101396,3.513545218152174,1453.4003734588623
58,2417.853029335235,2173.4530287254984,3.2473065762259044,1452.4433612823486
59,1762.6530085739632,2151.8319750333126,2.4708298201211676,1453.5000324249268
60,1575.4530471672779,2123.013028640011,2.103568396796262,1452.0583152770996
61,3073.053113133027,2168.253032663488,3.808543028508408,1453.629970550537
62,1949.8530046486276,2158.3257586628124,2.9571946165242498,1449.9058723449707
63,2511.453003503764,2173.679117134158,4.73550419702063,1451.188325881958
64,1856.2530266198721,2160.453030029396,2.016184515365595,1454.2021751403809
65,2137.053007253403,2159.5170291183563,3.513545218152174,1464.167833328247
66,2417.853029335235,2169.453029126698,3.2473065762259044,1454.3397426605225
67,1762.6530085739632,2154.3863616988187,2.4708298201211676,1451.7621994018555
68,1575.4530471672779,2133.710171894121,2.103568396796262,1453.0203342437744
69,3073.053113133027,2166.101307798911,3.808543028508408,1457.7701091766357
70,1949.8530046486276,2158.893031027235,2.9571946165242498,1457.341194152832
71,2511.453003503764,2170.2659333651873,4.73550419702063,1453.1431198120117
72,1856.2530266198721,2160.4530300293964,2.016184515365595,1453.831672668457
73,2137.053007253403,2159.7439384301238,3.513545218152174,1470.1313972473145
74,2417.853029335235,2167.335382280274,3.2473065762259044,1453.9308547973633
75,1762.6530085739632,2155.7730287458085,2.4708298201211676,1455.2404880523682
76,1575.4530471672779,2139.6530292575158,2.103568396796262,1454.6887874603271
77,3073.053113133027,2164.880058551448,3.808543028508408,1457.2489261627197
78,1949.8530046486276,2159.221451869795,2.9571946165242498,1454.2186260223389
79,2511.453003503764,2168.25303011682,4.73550419702063,1455.031156539917
80,1856.2530266198721,2160.4530300293964,2.016184515365595,1460.9754085540771
81,2137.053007253403,2159.8822977665673,3.513545218152174,1454.5743465423584
82,2417.853029335235,2166.0244580420117,3.2473065762259044,1454.1234970092773
83,1762.6530085739632,2156.6437266590337,2.4708298201211676,1452.3580074310303
84,1575.4530471672779,2143.4348475796755,2.103568396796262,1455.1830291748047
85,3073.053113133027,2164.093031258639,3.808543028508408,1456.8183422088623
86,1949.8530046486276,2159.4356393758126,2.9571946165242498,1452.9612064361572
87,2511.453003503764,2166.925370527471,4.73550419702063,1452.7926445007324
88,1856.2530266198721,2160.453030029396,2.016184515365595,1458.2064151763916
89,2137.053007253403,2159.975478544172,3.513545218152174,1454.4446468353271
90,2417.853029335235,2165.133029559993,3.2473065762259044,1456.129550933838
91,1762.6530085739632,2157.24126444262,2.4708298201211676,1452.120304107666
92,1575.4530471672779,2146.053029495017,2.103568396796262,1455.4295539855957
93,3073.053113133027,2163.5435971108286,3.808543028508408,1456.4340114593506
94,1949.8530046486276,2159.586363917084,2.9571946165242498,1456.0282230377197
95,2511.453003503764,2165.9839391822966,4.73550419702063,1455.1136493682861
96,1856.2530266198721,2160.453030029396,2.016184515365595,1455.948829650879
97,2137.053007253403,2160.0425033140277,3.513545218152174,1454.7107219696045
98,2417.853029335235,2164.487512383359,3.2473065762259044,1453.317642211914
99,1762.6530085739632,2157.676758081505,2.4708298201211676,1453.6888599395752
100,1575.4530471672779,2147.9730295662675,2.103568396796262,1459.6498012542725
101,3073.053113133027,2163.138276837854,3.808543028508408,1457.2491645812988
102,1949.8530046486276,2159.698191802544,2.9571946165242498,1468.050479888916
103,2511.453003503764,2165.281601512087,4.73550419702063,1454.9381732940674
104,1856.2530266198721,2160.4530300293964,2.016184515365595,1454.4670581817627
105,2137.053007253403,2160.0930296789966,3.513545218152174,1452.2581100463867
106,2417.853029335235,2163.9984842192425,3.2473065762259044,1455.2898406982422
107,1762.6530085739632,2158.008253239462,2.4708298201211676,1453.592300415039
108,1575.4530471672779,2149.441264914871,2.103568396796262,1452.807903289795
109,3073.053113133027,2162.8269438745547,3.808543028508408,1458.9331150054932
110,1949.8530046486276,2159.7844590284703,2.9571946165242498,1455.9826850891113
111,2511.453003503764,2164.7375371196717,4.73550419702063,1454.1702270507812
112,1856.2530266198721,2160.453030029397,2.016184515365595,1457.9975605010986
113,2137.053007253403,2160.1324817721916,3.513545218152174,1455.9292793273926
114,2417.853029335235,2163.615191874395,3.2473065762259044,1454.4615745544434
115,1762.6530085739632,2158.269029430389,2.4708298201211676,1451.5020847320557
116,1575.4530471672779,2150.600398084822,2.103568396796262,1448.1844902038574
117,3073.053113133027,2162.580303475058,3.808543028508408,1450.8545398712158
118,1949.8530046486276,2159.853030413181,2.9571946165242498,1448.4455585479736
119,2511.453003503764,2164.303662983948,4.73550419702063,1447.3865032196045
120,1856.2530266198721,2160.453030029397,2.016184515365595,1449.6757984161377
121,2137.053007253403,2160.164140859323,3.513545218152174,1447.2882747650146
122,2417.853029335235,2163.306688279761,3.2473065762259044,1449.857473373413
123,1762.6530085739632,2158.479535512221,2.4708298201211676,1446.298360824585
124,1575.4530471672779,2151.5387439843053,2.103568396796262,1448.6782550811768
125,3073.053113133027,2162.380089503702,3.808543028508408,1453.5918235778809
126,1949.8530046486276,2159.908844330969,2.9571946165242498,1448.62699508667
127,2511.453003503764,2163.949581792725,4.73550419702063,1447.6723670959473
128,1856.2530266198721,2160.4530300293973,2.016184515365595,1448.456048965454
129,2137.053007253403,2160.1901084251726,3.513545218152174,1452.2018432617188
130,2417.853029335235,2163.0530297686178,3.2473065762259044,1451.249361038208
131,1762.6530085739632,2158.6530295357093,2.4708298201211676,1478.7423610687256
132,1575.4530471672779,2152.313899292574,2.103568396796262,1450.1557350158691
133,3073.053113133027,2162.2143209467727,3.808543028508408,1452.0955085754395
134,1949.8530046486276,2159.955158007431,2.9571946165242498,1450.2739906311035
135,2511.453003503764,2163.655135328445,4.73550419702063,1448.8627910614014
136,1856.2530266198721,2160.4530300293973,2.016184515365595,1449.7580528259277
137,2137.053007253403,2160.211792681191,3.513545218152174,1449.188470840454
138,2417.853029335235,2162.840784891947,3.2473065762259044,1450.524091720581
139,1762.6530085739632,2158.798484121058,2.4708298201211676,1457.597017288208
140,1575.4530471672779,2152.96502975152,2.103568396796262,1448.3792781829834
141,3073.053113133027,2162.0748127552974,3.808543028508408,1455.0025463104248
142,1949.8530046486276,2159.9942067934676,2.9571946165242498,1448.3726024627686
143,2511.453003503764,2163.406428120752,4.73550419702063,1447.6563930511475
144,1856.2530266198721,2160.4530300293973,2.016184515365595,1448.2412338256836
145,2137.053007253403,2160.230172669626,3.513545218152174,1448.8492012023926
146,2417.853029335235,2162.6605769777925,3.2473065762259044,1449.2201805114746
147,1762.6530085739632,2158.9221884880367,2.4708298201211676,1449.707269668579
148,1575.4530471672779,2153.5196964387706,2.103568396796262,1447.0465183258057
149,3073.053113133027,2161.955782830461,3.808543028508408,1465.4371738433838
150,1949.8530046486276,2160.0275757560808,2.9571946165242498,1450.1798152923584
151,2511.453003503764,2163.1935706006543,4.73550419702063,1467.1378135681152
152,1856.2530266198721,2160.4530300293977,2.016184515365595,1454.540729522705
153,2137.053007253403,2160.2459501818225,3.513545218152174,1449.462890625
154,2417.853029335235,2162.5056614024666,3.2473065762259044,1449.9359130859375
155,1762.6530085739632,2159.0286818126533,2.4708298201211676,1448.0431079864502
156,1575.4530471672779,2153.9978573760554,2.103568396796262,1447.4670886993408
157,3073.053113133027,2161.853030502183,3.808543028508408,1452.6634216308594
158,1949.8530046486276,2160.056420113594,2.9571946165242498,1447.188377380371
159,2511.453003503764,2163.0093325790576,4.73550419702063,1447.67427444458
160,1856.2530266198721,2160.4530300293977,2.016184515365595,1450.2496719360352
161,2137.053007253403,2160.259641411414,3.513545218152174,1448.0390548706055
162,2417.853029335235,2162.371062623905,3.2473065762259044,1447.3927021026611
163,1762.6530085739632,2159.121322347076,2.4708298201211676,1447.7968215942383
164,1575.4530471672779,2154.414320127884,2.103568396796262,1451.3115882873535
165,3073.053113133027,2161.763430471925,3.808543028508408,1450.566053390503
166,1949.8530046486276,2160.0816016955496,2.9571946165242498,1449.603796005249
167,2511.453003503764,2162.848305646796,4.73550419702063,1455.0426006317139
168,1856.2530266198721,2160.4530300293977,2.016184515365595,1452.0540237426758
169,2137.053007253403,2160.271634504002,3.513545218152174,1450.967788696289
170,2417.853029335235,2162.2530298488578,3.2473065762259044,1449.6614933013916
171,1762.6530085739632,2159.202648007065,2.4708298201211676,1448.1701850891113
172,1575.4530471672779,2154.780302546157,2.103568396796262,1448.0347633361816
173,3073.053113133027,2161.684609392675,3.808543028508408,1452.7912139892578
174,1949.8530046486276,2160.103776521451,2.9571946165242498,1447.160005569458
175,2511.453003503764,2162.7063633879866,4.73550419702063,1448.310375213623
176,1856.2530266198721,2160.4530300293973,2.016184515365595,1447.9269981384277
177,2137.053007253403,2160.282226943441,3.513545218152174,1447.946310043335
178,2417.853029335235,2162.1486820332366,3.2473065762259044,1450.3884315490723
179,1762.6530085739632,2159.2746124400046,2.4708298201211676,1451.918363571167
180,1575.4530471672779,2155.104458402342,2.103568396796262,1447.810173034668
181,3073.053113133027,2161.614732549368,3.808543028508408,1470.684289932251
182,1949.8530046486276,2160.1234527754195,2.9571946165242498,1478.036642074585
183,2511.453003503764,2162.5803027805127,4.73550419702063,2152.529239654541
184,1856.2530266198721,2160.4530300293973,2.016184515365595,2162.142276763916
185,2137.053007253403,2160.2916505619764,3.513545218152174,2160.9411239624023
186,2417.853029335235,2162.0557695946695,3.2473065762259044,2161.3707542419434
187,1762.6530085739632,2159.338744009495,2.4708298201211676,2159.91473197937
188,1575.4530471672779,2155.3935703821826,2.103568396796262,2153.3429622650146
189,3073.053113133027,2161.552359259705,3.808543028508408,2162.315607070923
190,1949.8530046486276,2160.1410302289646,2.9571946165242498,2150.5284309387207
