TimeSlot,P_c_RBUS,P_c_PriBSCS,Unmet_RBUS,Unmet_PriBSCS
0,70.0,69.99999999771026,0.0,15.999999999969905
1,70.0,69.99999999771026,0.0,15.999999999961792
2,70.0,69.99999999771026,7.475000000000001,15.999999999961085
3,70.0,69.99999999771026,15.825,15.999999999961636
4,70.0,69.99999999771026,15.825,15.999999999962402
5,70.0,69.99999999771026,15.825,15.999999999963174
6,70.0,69.99999999771026,15.825,15.999999999963908
7,70.0,69.99999999771026,15.825,15.99999999996458
8,70.0,69.99999999771026,11.825,11.999999999964222
9,70.0,69.99999999771026,15.825,15.999999999965885
10,70.0,69.99999999771026,11.825,11.999999999965167
11,70.0,69.99999999771026,11.825,11.999999999965627
12,70.0,69.99999999771026,15.825,15.999999999967697
13,70.0,69.99999999771026,0.0,0.0
14,70.0,69.99999999771026,3.65,3.9999999999706777
15,70.0,69.99999999771026,11.825,11.999999999966917
16,70.0,69.99999999771026,7.825,7.999999999965891
17,70.0,69.99999999771026,15.825,15.999999999969281
18,70.0,69.99999999771026,7.825,7.9999999999663185
19,70.0,69.99999999771026,3.825,3.9999999999737375
20,70.0,69.99999999771026,15.825,15.999999999969516
21,70.0,69.99999999771026,15.825,15.999999999969619
22,70.0,69.99999999771026,15.825,15.999999999969639
23,70.0,69.99999999771026,3.825,3.9999999999761373
24,70.0,69.99999999771026,11.825,11.999999999968106
25,70.0,69.99999999771026,15.825,15.999999999969834
26,70.0,69.99999999771026,7.825,7.999999999968586
27,70.0,69.99999999771026,15.825,15.999999999969925
28,70.0,69.99999999771026,11.825,11.999999999968582
29,70.0,69.99999999771026,11.825,11.999999999968644
30,70.0,69.99999999771026,11.825,11.999999999968773
31,70.0,69.99999999771026,15.825,15.999999999970195
32,70.0,69.99999999771026,15.825,15.99999999997028
33,70.0,69.99999999771026,7.825,7.999999999969911
34,70.0,69.99999999771026,15.825,15.99999999997048
35,70.0,69.99999999771026,7.825,7.999999999969989
36,70.0,69.99999999771026,15.825,15.99999999997061
37,70.0,69.99999999771026,0.0,0.0
38,70.0,69.99999999771026,3.65,3.9999999999839244
39,70.0,69.99999999771026,15.825,15.999999999970601
40,70.0,69.99999999771026,15.825,15.9999999999706
41,70.0,69.99999999771026,15.825,15.999999999970559
42,70.0,69.99999999771026,15.825,15.999999999970518
43,70.0,69.99999999771026,11.825,11.999999999969305
44,70.0,69.99999999771026,3.825,3.999999999984922
45,70.0,69.99999999771026,11.825,11.999999999969296
46,70.0,69.99999999771026,11.825,11.99999999996945
47,70.0,69.99999999771026,15.825,15.999999999970482
48,70.0,69.99999999771026,15.825,15.999999999970376
49,70.0,69.99999999771026,0.0,0.0
50,70.0,69.99999999771026,15.65,15.999999999970267
51,70.0,69.99999999771026,11.825,11.999999999969456
52,70.0,69.99999999771026,11.825,11.999999999969505
53,70.0,69.99999999771026,15.825,15.999999999970228
54,70.0,69.99999999771026,15.825,15.999999999970209
55,70.0,69.99999999771026,15.825,15.999999999970132
56,70.0,69.99999999771026,7.825,7.999999999971212
57,70.0,69.99999999771026,11.825,11.999999999969345
58,70.0,69.99999999771026,15.825,15.999999999970035
59,70.0,69.99999999771026,15.825,15.999999999969987
60,70.0,69.99999999771026,11.825,11.999999999969196
61,70.0,69.99999999771026,15.825,15.9999999999698
62,70.0,69.99999999771026,7.825,7.999999999970088
63,70.0,69.99999999771026,7.825,7.999999999969848
64,70.0,69.99999999771026,15.825,15.999999999969393
65,70.0,69.99999999771026,15.825,15.999999999969239
66,70.0,69.99999999771026,15.825,15.999999999969036
67,70.0,69.99999999771026,15.825,15.999999999968834
68,70.0,69.99999999771026,15.825,15.999999999968622
69,70.0,69.99999999771026,11.825,11.999999999967544
70,70.0,69.99999999771026,15.825,15.999999999968287
71,70.0,69.99999999771026,15.825,15.99999999996817
72,70.0,69.99999999715251,15.825,15.999999999970587
73,70.0,69.99999999715251,15.825,15.999999999965212
74,70.0,69.99999999715251,0.0,0.0
75,70.0,69.99999999715251,15.65,15.9999999999539
76,70.0,69.99999999715251,15.825,15.999999999948445
77,70.0,69.99999999715251,11.825,11.999999999945487
78,70.0,69.99999999715251,15.825,15.999999999938904
79,70.0,69.99999999715251,0.0,0.0
80,70.0,69.99999999715251,15.65,15.999999999930365
81,70.0,69.99999999715251,15.825,15.999999999926725
82,70.0,69.99999999715251,15.825,15.999999999923276
83,70.0,69.99999999715251,11.825,11.999999999920465
84,70.0,69.99999999715251,7.825,7.9999999999200195
85,70.0,69.99999999715251,11.825,11.999999999914785
86,70.0,69.99999999715251,15.825,15.999999999912745
87,70.0,69.99999999715251,15.825,15.999999999910854
88,70.0,69.99999999715251,11.825,11.999999999908766
89,70.0,69.99999999715251,15.825,15.999999999907882
90,70.0,69.99999999715251,15.825,15.999999999906914
91,70.0,69.99999999715251,15.825,15.999999999905969
92,70.0,69.99999999715251,11.825,11.999999999903745
93,70.0,69.99999999715251,11.825,11.999999999902736
94,70.0,69.99999999715251,11.825,11.99999999990176
95,70.0,69.99999999715251,3.825,3.9999999999088636
96,70.0,69.99999999715251,15.825,15.999999999903823
97,70.0,69.99999999715251,15.825,15.99999999990418
98,70.0,69.99999999715251,15.825,15.999999999904215
99,70.0,69.99999999715251,15.825,15.999999999903922
100,70.0,69.99999999715251,3.825,3.999999999910579
101,70.0,69.99999999715251,11.825,11.999999999900126
102,70.0,69.99999999715251,11.825,11.99999999990036
103,70.0,69.99999999715251,7.825,7.999999999902494
104,70.0,69.99999999715251,15.825,15.99999999990485
105,70.0,69.99999999715251,15.825,15.999999999905283
106,70.0,69.99999999715251,15.825,15.99999999990556
107,70.0,69.99999999715251,15.825,15.999999999905889
108,70.0,69.99999999715251,15.825,15.999999999906217
109,70.0,69.99999999715251,15.825,15.999999999906153
110,70.0,69.99999999715251,0.0,0.0
111,70.0,69.99999999715251,15.65,15.999999999906917
112,70.0,69.99999999715251,15.825,15.999999999907681
113,70.0,69.99999999715251,15.825,15.999999999908011
114,70.0,69.99999999715251,15.825,15.999999999908285
115,70.0,69.99999999715251,15.825,15.99999999990855
116,70.0,69.99999999715251,15.825,15.999999999908649
117,70.0,69.99999999715251,7.825,7.999999999903888
118,70.0,69.99999999715251,15.825,15.999999999909312
119,70.0,69.99999999715251,15.825,15.999999999909901
120,0.0,69.99999999781615,16.0,15.318559410882118
121,0.0,69.99999999781615,8.0,7.2419878465358325
122,0.0,69.99999999781615,16.0,15.20485744713464
123,0.0,69.99999999781615,4.0,3.324714318747699
124,0.0,69.99999999781615,16.0,15.14769537305056
125,0.0,69.99999999781615,16.0,15.128523017041411
126,0.0,69.99999999781615,8.0,7.161593637113747
127,0.0,69.99999999781615,12.0,11.097935226560532
128,0.0,69.99999999781615,16.0,15.083792484938877
129,0.0,69.99999999781615,12.0,11.07053522890225
130,0.0,69.99999999781615,4.0,3.2801899218361403
131,0.0,69.99999999781615,16.0,15.043734660021356
132,0.0,69.99999999781615,8.0,7.103545591598609
133,0.0,69.99999999781615,16.0,15.025246790178649
134,0.0,69.99999999781615,8.0,7.086497311790899
135,0.0,69.99999999781615,16.0,15.00177217386465
136,0.0,69.99999999781615,8.0,7.065386407945498
137,0.0,69.99999999781615,12.0,10.986063864990141
138,0.0,69.99999999781615,16.0,14.96592232076073
139,0.0,69.99999999781615,8.0,7.03868006563509
140,0.0,69.99999999781615,16.0,14.939432344587281
141,0.0,69.99999999781615,16.0,14.921019209225236
142,0.0,69.99999999781615,4.0,3.2114791672407828
143,0.0,69.99999999781615,16.0,14.887542125924922
144,0.0,69.99999999781615,16.0,14.875607951977493
145,0.0,69.99999999781615,16.0,14.848781789763162
146,0.0,69.99999999781615,8.0,6.927206189429006
147,0.0,69.99999999781615,4.0,3.1592272210958825
148,0.0,69.99999999781615,16.0,14.770173707134472
149,0.0,69.99999999781615,16.0,14.751754209926057
150,0.0,69.99999999781615,16.0,14.720863849816551
151,0.0,69.99999999781615,16.0,14.681569729460595
152,0.0,69.99999999781615,12.0,10.680674359885948
153,0.0,69.99999999781615,16.0,14.595166395028615
154,0.0,69.99999999781615,16.0,14.543602136709348
155,0.0,69.99999999781615,12.0,10.54337883796146
156,0.0,69.99999999781615,16.0,14.412466560234844
157,0.0,69.99999999781615,16.0,14.32276177285214
158,0.0,69.99999999781615,8.0,6.556342113759201
159,0.0,69.99999999781615,16.0,14.088424649764615
160,0.0,69.99999999781615,8.0,6.421386380718444
161,0.0,69.99999999781615,16.0,13.794746574259275
162,0.0,69.99999999781615,16.0,13.59729223795888
163,0.0,69.99999999781615,8.0,6.122506785044473
164,0.0,69.99999999781615,16.0,13.023854102951208
165,0.0,69.99999999781615,16.0,12.49282932649579
166,0.0,69.99999999781615,16.0,12.132676493357826
167,0.0,69.99999999781615,16.0,15.999999999928649
