N_BSMs,P_cap_kW,PriBSCS_Profit,Cent_Profit,PriBSCS_Time,Trad_ADMM_Time,Cent_Time
1,50.0,818.8950046543324,818.8949998060939,306.2886850833893,10.216638803482056,0.05094265937805176
2,60.0,1294.6740028032898,1294.6739998631947,292.7632384300232,9.869312047958374,0.09350800514221191
4,70.0,2160.4530300293964,2160.45299983099,314.91570377349854,11.37875509262085,0.38620901107788086
10,200.0,5670.669731898417,,321.7230348587036,,
20,400.0,11230.185199368574,,307.9062581062317,,
40,800.0,22241.635345885654,,312.3267869949341,,
