Iteration,Primal_Residual_DP
1,33.75561243726775
2,46.61020535288884
3,54.07621368515352
4,34.76549444262493
5,32.772227089698276
6,35.83388916093598
7,38.03871784981333
8,35.775834881119174
9,31.929694853412016
10,38.21568165301457
11,31.347527277116164
12,32.163134341827565
13,31.588026101152696
14,30.568215027116604
15,37.06790738268859
16,34.94727359904815
17,31.352822369738327
18,29.448766056356646
19,28.899542146182892
20,35.34711102832309
21,33.58618140244004
22,25.783044431741136
23,30.27803919203548
24,34.07715899906556
25,27.438149963930766
26,31.412683482356176
27,31.429117929272724
28,31.525319438284736
29,29.41044598341055
30,26.757701818763554
31,34.90590951847849
32,28.69542683994256
33,25.917901300028348
34,32.014146464992315
35,27.78484885164671
36,30.931520297592684
37,30.6841025479879
38,31.020901222837594
39,30.262561786106808
40,28.43287224175959
41,28.76482617036228
42,27.098312828752803
43,27.15030588104833
44,32.3050051728426
45,28.204167333149208
46,29.27004409980188
47,25.20908998344065
48,29.927014163702957
49,27.88198039680511
50,30.205510206107903
51,31.445703971416826
52,27.949257581540234
53,27.79652523296109
54,29.04386060419075
55,28.282978174223086
56,27.69637166303243
57,30.144820413071518
58,31.82327342648716
59,35.46357162503127
60,27.613204376831654
61,27.72314683735657
62,29.835003126780315
63,28.68771794397087
64,27.733654404656264
65,30.7692669044411
66,30.107219297327774
67,29.569128050807716
68,27.213491144067635
69,32.612707738701815
70,33.95216067226897
71,29.974542184660272
72,30.51596890806936
73,33.704043965262336
74,28.979484116715863
75,23.8862822968959
76,28.65676571285365
77,35.69527417575706
78,31.4696114821342
79,28.40850284309544
80,28.79467762198906
81,28.97343574022431
82,31.133015642387004
83,26.556875930409696
84,32.64977281446724
85,30.51482935807033
86,26.784953458560558
87,33.011173534035514
88,30.64599859477427
89,36.877733177545444
90,33.79866829564986
91,28.01857534271053
92,27.170933720057782
93,31.55624779886111
94,33.30519475360936
95,29.328998298033266
96,34.04257899185251
97,28.685563739768742
98,30.995109538323597
99,24.684391584331376
100,28.977705363636325
