N_BSMs,P_cap_kW,Profit_RBUS,Profit_PriBSCS
1,50.0,368.92499999999836,818.8950046543324
2,60.0,610.7099999999987,1294.6740028032898
4,70.0,1062.4950000000172,2160.4530300293964
